"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"Arthrogram Knee","ARTHROGRAM KNEE","[""73580-26""]","73580","26","0.58","XR","Lower Extremity","not_applicable","","[""Arthrogram Knee"",""ARTHROGRAM KNEE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram Ankle","ARTHROGRAM ANKLE","[""73615-26""]","73615","26","0.53","XR","Lower Extremity","not_applicable","","[""Arthrogram Ankle"",""ARTHROGRAM ANKLE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arthrogram TMJ","ARTHROGRAM TMJ","[""70332-26""]","70332","26","0.53","XR","Head/Neck","not_applicable","","[""Arthrogram TMJ"",""ARTHROGRAM TMJ""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"MRI TMJ","MRI TMJ","[""70336-26""]","70336","26","1.44","MRI","Head/Neck","not_applicable","","""MRI TMJ""","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Arch Aortogram (Thoracic Aorta Cath)","ARCH AORTOGRAM THORACIC AORTA CATH","[""36221-26""]","36221","26","3.82","PROCEDURE","Chest","not_applicable","","[""Arch Aortogram (Thoracic Aorta Cath)"",""ARCH AORTOGRAM THORACIC AORTA CATH""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Carotid/Innominate Cath Unilateral","CAROTID INNOMINATE CATH UNILATERAL","[""36222-26""]","36222","26","5.15","PROCEDURE","Abdomen","not_applicable","","[""Carotid/Innominate Cath Unilateral"",""CAROTID INNOMINATE CATH UNILATERAL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Carotid/Innominate Cath Selective","CAROTID INNOMINATE CATH SELECTIVE","[""36223-26""]","36223","26","5.61","PROCEDURE","Abdomen","not_applicable","","[""Carotid/Innominate Cath Selective"",""CAROTID INNOMINATE CATH SELECTIVE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Internal Carotid Cath Selective","INTERNAL CAROTID CATH SELECTIVE","[""36224-26""]","36224","26","6.09","PROCEDURE","Abdomen","not_applicable","","[""Internal Carotid Cath Selective"",""INTERNAL CAROTID CATH SELECTIVE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Subclavian Artery Cath","SUBCLAVIAN ARTERY CATH","[""36225-26""]","36225","26","5.61","PROCEDURE","Abdomen","not_applicable","","[""Subclavian Artery Cath"",""SUBCLAVIAN ARTERY CATH""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Vertebral Artery Cath Selective","VERTEBRAL ARTERY CATH SELECTIVE","[""36226-26""]","36226","26","6.09","PROCEDURE","Abdomen","not_applicable","","[""Vertebral Artery Cath Selective"",""VERTEBRAL ARTERY CATH SELECTIVE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
